 ========================================================================
 Mesh information:
 Nx =                   15     -    Ny =                    15
  
 Slab dimensions:
 X(m) =    1.0000000000000000          -    Y(m) =   0.20000000000000001     
                                                                         
                                                                         
 ========================================================================
 Npos =  1
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
   15600.0000      0.0000      0.0429   1398.9123    703.0000     48.6694
   15800.0000      0.0000      0.0429   1398.8956    703.0000     48.6684
   16000.0000      0.0000      0.0429   1398.8812    703.0000     48.6677
   16200.0000      0.0000      0.0429   1398.8687    703.0000     48.6670
   16400.0000      0.0000      0.0429   1398.8580    703.0000     48.6664
   16600.0000      0.0000      0.0429   1398.8488    703.0000     48.6659
   16800.0000      0.0000      0.0429   1398.8410    703.0000     48.6655
   17000.0000      0.0000      0.0429   1398.8342    703.0000     48.6651
   17200.0000      0.0000      0.0429   1398.8283    703.0000     48.6648
   17400.0000      0.0000      0.0429   1398.8233    703.0000     48.6645
   17600.0000      0.0000      0.0429   1398.8190    703.0000     48.6643
   17800.0000      0.0000      0.0429   1398.8153    703.0000     48.6641
   18000.0000      0.0000      0.0429   1398.8122    703.0000     48.6639
   18200.0000      0.0000      0.0429   1398.8096    703.0000     48.6637
   18400.0000      0.0000      0.0429   1398.8073    703.0000     48.6636
                                                                         
                                                                         
 ========================================================================
 Npos =  4
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
       0.0000      0.0000      0.0714    300.0000    478.5730     62.2137
     200.0000      0.0000      0.0714    440.0048    486.1174     56.3425
     400.0000      0.0000      0.0714    545.1726    556.7200     51.4654
     600.0000      0.0000      0.0714    632.2619    604.4333     47.5724
     800.0000      0.0000      0.0714    707.4984    632.7333     44.5387
    1000.0000      0.0000      0.0714    772.7376    657.8893     42.2766
    1140.0000      0.0000      0.0714    813.6740    682.0001     41.0714
    1340.0000      0.0000      0.0714    917.1242    820.8623     38.8915
    1540.0000      0.0000      0.0714    991.6231   1051.8396     38.1849
    1740.0000      0.0000      0.0714   1060.2025   1031.0060     38.2314
    1940.0000      0.0000      0.0714   1123.4024    843.4167     38.8907
    2140.0000      0.0000      0.0714   1173.4283    744.3956     39.8389
    2340.0000      0.0000      0.0714   1212.2035    703.0000     40.8330
    2540.0000      0.0000      0.0714   1243.4350    703.0000     41.7968
    2740.0000      0.0000      0.0714   1269.6431    703.0000     42.7164
    2940.0000      0.0000      0.0714   1291.9372    703.0000     43.5772
    3060.0000      0.0000      0.0714   1304.0308    703.0000     44.0739
    3260.0000      0.0000      0.0714   1353.9278    703.0000     46.3393
    3460.0000      0.0000      0.0714   1387.7955    703.0000     48.0690
    3660.0000      0.0000      0.0714   1412.0517    703.0000     49.3991
    3860.0000      0.0000      0.0714   1430.3500    703.0000     50.4511
    4060.0000      0.0000      0.0714   1444.7070    703.0000     51.3049
    4260.0000      0.0000      0.0714   1456.2633    703.0000     52.0097
    4460.0000      0.0000      0.0714   1465.7109    703.0000     52.5974
    4660.0000      0.0000      0.0714   1473.5072    703.0000     53.0899
    4860.0000      0.0000      0.0714   1479.9777    703.0000     53.5039
    4980.0000      0.0000      0.0714   1483.4412    703.0000     53.7273
    5180.0000      0.0000      0.0714   1484.9625    703.0000     53.8259
    5380.0000      0.0000      0.0714   1487.3872    703.0000     53.9834
    5580.0000      0.0000      0.0714   1489.9583    703.0000     54.1513
    5780.0000      0.0000      0.0714   1492.3625    703.0000     54.3088
    5980.0000      0.0000      0.0714   1494.4958    703.0000     54.4491
    6180.0000      0.0000      0.0714   1496.3434    703.0000     54.5710
    6380.0000      0.0000      0.0714   1497.9240    703.0000     54.6756
    6580.0000      0.0000      0.0714   1499.2675    703.0000     54.7647
    6780.0000      0.0000      0.0714   1500.4051    703.0000     54.8403
    6980.0000      0.0000      0.0714   1501.3660    703.0000     54.9043
    7180.0000      0.0000      0.0714   1502.1765    703.0000     54.9583
    7380.0000      0.0000      0.0714   1502.8595    703.0000     55.0039
    7580.0000      0.0000      0.0714   1503.4344    703.0000     55.0423
    7780.0000      0.0000      0.0714   1503.9183    703.0000     55.0746
    7980.0000      0.0000      0.0714   1504.3253    703.0000     55.1018
    8180.0000      0.0000      0.0714   1504.6675    703.0000     55.1247
    8380.0000      0.0000      0.0714   1504.9552    703.0000     55.1440
    8400.0000      0.0000      0.0714   1504.9835    703.0000     55.1459
    8600.0000      0.0000      0.0714   1470.5360    703.0000     52.9014
    8800.0000      0.0000      0.0714   1450.7676    703.0000     51.6726
    9000.0000      0.0000      0.0714   1438.3726    703.0000     50.9252
    9200.0000      0.0000      0.0714   1429.9799    703.0000     50.4294
    9400.0000      0.0000      0.0714   1423.9449    703.0000     50.0782
    9600.0000      0.0000      0.0714   1419.4140    703.0000     49.8175
    9800.0000      0.0000      0.0714   1415.9099    703.0000     49.6175
   10000.0000      0.0000      0.0714   1413.1438    703.0000     49.4608
   10200.0000      0.0000      0.0714   1410.9284    703.0000     49.3359
   10400.0000      0.0000      0.0714   1409.1348    703.0000     49.2353
   10600.0000      0.0000      0.0714   1407.6708    703.0000     49.1534
   10800.0000      0.0000      0.0714   1406.4681    703.0000     49.0864
   11000.0000      0.0000      0.0714   1405.4748    703.0000     49.0311
   11200.0000      0.0000      0.0714   1404.6508    703.0000     48.9854
   11400.0000      0.0000      0.0714   1403.9647    703.0000     48.9474
   11600.0000      0.0000      0.0714   1403.3916    703.0000     48.9157
   11800.0000      0.0000      0.0714   1402.9116    703.0000     48.8892
   12000.0000      0.0000      0.0714   1402.5089    703.0000     48.8670
   12200.0000      0.0000      0.0714   1402.1698    703.0000     48.8483
   12400.0000      0.0000      0.0714   1401.8839    703.0000     48.8325
   12600.0000      0.0000      0.0714   1401.6424    703.0000     48.8192
   12800.0000      0.0000      0.0714   1401.4380    703.0000     48.8080
   13000.0000      0.0000      0.0714   1401.2650    703.0000     48.7984
   13200.0000      0.0000      0.0714   1401.1182    703.0000     48.7904
   13400.0000      0.0000      0.0714   1400.9935    703.0000     48.7835
   13600.0000      0.0000      0.0714   1400.8876    703.0000     48.7777
   13800.0000      0.0000      0.0714   1400.7974    703.0000     48.7727
   14000.0000      0.0000      0.0714   1400.7207    703.0000     48.7685
   14200.0000      0.0000      0.0714   1400.6553    703.0000     48.7649
   14400.0000      0.0000      0.0714   1400.5996    703.0000     48.7619
   14600.0000      0.0000      0.0714   1400.5520    703.0000     48.7592
   14800.0000      0.0000      0.0714   1400.5114    703.0000     48.7570
   15000.0000      0.0000      0.0714   1400.4767    703.0000     48.7551
   15200.0000      0.0000      0.0714   1400.4470    703.0000     48.7535
   15400.0000      0.0000      0.0714   1400.4216    703.0000     48.7521
   15600.0000      0.0000      0.0714   1400.3999    703.0000     48.7509
   15800.0000      0.0000      0.0714   1400.3816    703.0000     48.7499
   16000.0000      0.0000      0.0714   1400.3658    703.0000     48.7490
   16200.0000      0.0000      0.0714   1400.3523    703.0000     48.7483
   16400.0000      0.0000      0.0714   1400.3406    703.0000     48.7476
   16600.0000      0.0000      0.0714   1400.3305    703.0000     48.7471
   16800.0000      0.0000      0.0714   1400.3219    703.0000     48.7466
   17000.0000      0.0000      0.0714   1400.3145    703.0000     48.7462
   17200.0000      0.0000      0.0714   1400.3081    703.0000     48.7459
   17400.0000      0.0000      0.0714   1400.3027    703.0000     48.7456
   17600.0000      0.0000      0.0714   1400.2980    703.0000     48.7453
   17800.0000      0.0000      0.0714   1400.2939    703.0000     48.7451
   18000.0000      0.0000      0.0714   1400.2905    703.0000     48.7449
   18200.0000      0.0000      0.0714   1400.2876    703.0000     48.7447
   18400.0000      0.0000      0.0714   1400.2851    703.0000     48.7446
                                                                         
                                                                         
 ========================================================================
 Npos =  5
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
       0.0000      0.0000      0.1000    300.0000    478.5730     62.2137
     200.0000      0.0000      0.1000    440.7277    486.5533     56.3094
     400.0000      0.0000      0.1000    547.4411    558.1832     51.3608
     600.0000      0.0000      0.1000    635.6304    605.9069     47.4287
     800.0000      0.0000      0.1000    711.2368    634.0107     44.3988
    1000.0000      0.0000      0.1000    776.2598    659.5936     42.1660
    1140.0000      0.0000      0.1000    816.8488    684.3494     40.9855
    1340.0000      0.0000      0.1000    917.8179    822.3785     38.8814
    1540.0000      0.0000      0.1000    990.5057   1047.1947     38.1898
    1740.0000      0.0000      0.1000   1057.6862   1039.8052     38.2175
    1940.0000      0.0000      0.1000   1120.5023    850.5531     38.8473
    2140.0000      0.0000      0.1000   1170.6915    748.5958     39.7773
    2340.0000      0.0000      0.1000   1209.7025    703.0000     40.7621
    2540.0000      0.0000      0.1000   1241.1532    703.0000     41.7215
    2740.0000      0.0000      0.1000   1267.5804    703.0000     42.6404
    2940.0000      0.0000      0.1000   1290.0765    703.0000     43.5026
    3060.0000      0.0000      0.1000   1302.2897    703.0000     44.0011
