 ========================================================================
 Mesh information:
 Nx =                  121     -    Ny =                   121
  
 Slab dimensions:
 X(m) =    1.0000000000000000          -    Y(m) =   0.20000000000000001     
                                                                         
                                                                         
 ========================================================================
 Npos =  1
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
   11200.0000      0.0000      0.0500   1403.9242    703.0000     48.9452
   11400.0000      0.0000      0.0500   1403.2806    703.0000     48.9096
   11600.0000      0.0000      0.0500   1402.7517    703.0000     48.8804
   11800.0000      0.0000      0.0500   1402.3004    703.0000     48.8555
   12000.0000      0.0000      0.0500   1401.9181    703.0000     48.8344
   12200.0000      0.0000      0.0500   1401.6064    703.0000     48.8172
   12400.0000      0.0000      0.0500   1401.3374    703.0000     48.8024
   12600.0000      0.0000      0.0500   1401.1081    703.0000     48.7898
   12800.0000      0.0000      0.0500   1400.9133    703.0000     48.7791
   13000.0000      0.0000      0.0500   1400.7510    703.0000     48.7702
   13200.0000      0.0000      0.0500   1400.6135    703.0000     48.7626
   13400.0000      0.0000      0.0500   1400.4968    703.0000     48.7562
   13600.0000      0.0000      0.0500   1400.3954    703.0000     48.7506
   13800.0000      0.0000      0.0500   1400.3108    703.0000     48.7460
   14000.0000      0.0000      0.0500   1400.2323    703.0000     48.7417
   14200.0000      0.0000      0.0500   1400.1710    703.0000     48.7383
   14400.0000      0.0000      0.0500   1400.1191    703.0000     48.7355
   14600.0000      0.0000      0.0500   1400.0702    703.0000     48.7328
   14800.0000      0.0000      0.0500   1400.0357    703.0000     48.7309
   15000.0000      0.0000      0.0500   1399.9997    703.0000     48.7289
   15200.0000      0.0000      0.0500   1399.9685    703.0000     48.7272
   15400.0000      0.0000      0.0500   1399.9469    703.0000     48.7260
   15600.0000      0.0000      0.0500   1399.9230    703.0000     48.7247
   15800.0000      0.0000      0.0500   1399.9032    703.0000     48.7236
   16000.0000      0.0000      0.0500   1399.8925    703.0000     48.7230
   16200.0000      0.0000      0.0500   1399.8783    703.0000     48.7223
   16400.0000      0.0000      0.0500   1399.8649    703.0000     48.7215
   16600.0000      0.0000      0.0500   1399.8552    703.0000     48.7210
   16800.0000      0.0000      0.0500   1399.8458    703.0000     48.7205
   17000.0000      0.0000      0.0500   1399.8365    703.0000     48.7200
   17200.0000      0.0000      0.0500   1399.8357    703.0000     48.7199
   17400.0000      0.0000      0.0500   1399.8315    703.0000     48.7197
   17600.0000      0.0000      0.0500   1399.8271    703.0000     48.7195
   17800.0000      0.0000      0.0500   1399.8227    703.0000     48.7192
   18000.0000      0.0000      0.0500   1399.8183    703.0000     48.7190
   18200.0000      0.0000      0.0500   1399.8140    703.0000     48.7187
   18400.0000      0.0000      0.0500   1399.8136    703.0000     48.7187
                                                                         
                                                                         
 ========================================================================
 Npos =  4
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
       0.0000      0.0000      0.0750    300.0000    478.5730     62.2137
     200.0000      0.0000      0.0750    458.8725    498.0199     55.4747
     400.0000      0.0000      0.0750    560.8128    566.6029     50.7467
     600.0000      0.0000      0.0750    645.4073    610.0403     47.0152
     800.0000      0.0000      0.0750    718.6488    636.5581     44.1250
    1000.0000      0.0000      0.0750    782.3652    662.6864     41.9773
    1140.0000      0.0000      0.0750    822.4372    688.6916     40.8371
    1340.0000      0.0000      0.0750    946.4176    894.2603     38.5226
    1540.0000      0.0000      0.0750   1018.5368   1176.8433     38.1215
    1740.0000      0.0000      0.0750   1076.1103    977.6548     38.3410
    1940.0000      0.0000      0.0750   1126.6089    835.6989     38.9402
    2140.0000      0.0000      0.0750   1170.7670    748.4781     39.7790
    2340.0000      0.0000      0.0750   1208.6642    703.0000     40.7329
    2540.0000      0.0000      0.0750   1240.6407    703.0000     41.7047
    2740.0000      0.0000      0.0750   1267.3831    703.0000     42.6332
    2940.0000      0.0000      0.0750   1289.8315    703.0000     43.4928
    3060.0000      0.0000      0.0750   1301.9360    703.0000     43.9863
    3260.0000      0.0000      0.0750   1357.8158    703.0000     46.5302
    3460.0000      0.0000      0.0750   1388.3595    703.0000     48.0991
    3660.0000      0.0000      0.0750   1411.0304    703.0000     49.3416
    3860.0000      0.0000      0.0750   1428.8096    703.0000     50.3610
    4060.0000      0.0000      0.0750   1443.1023    703.0000     51.2082
    4260.0000      0.0000      0.0750   1454.7319    703.0000     51.9154
    4460.0000      0.0000      0.0750   1464.3040    703.0000     52.5092
    4660.0000      0.0000      0.0750   1472.2184    703.0000     53.0080
    4860.0000      0.0000      0.0750   1478.8032    703.0000     53.4284
    4980.0000      0.0000      0.0750   1482.3214    703.0000     53.6549
    5180.0000      0.0000      0.0750   1483.4203    703.0000     53.7259
    5380.0000      0.0000      0.0750   1486.2600    703.0000     53.9101
    5580.0000      0.0000      0.0750   1489.0520    703.0000     54.0920
    5780.0000      0.0000      0.0750   1491.5753    703.0000     54.2572
    5980.0000      0.0000      0.0750   1493.7823    703.0000     54.4021
    6180.0000      0.0000      0.0750   1495.6747    703.0000     54.5269
    6380.0000      0.0000      0.0750   1497.2887    703.0000     54.6335
    6580.0000      0.0000      0.0750   1498.6639    703.0000     54.7247
    6780.0000      0.0000      0.0750   1499.8234    703.0000     54.8016
    6980.0000      0.0000      0.0750   1500.8033    703.0000     54.8668
    7180.0000      0.0000      0.0750   1501.6353    703.0000     54.9222
    7380.0000      0.0000      0.0750   1502.3319    703.0000     54.9686
    7580.0000      0.0000      0.0750   1502.9170    703.0000     55.0077
    7780.0000      0.0000      0.0750   1503.4098    703.0000     55.0406
    7980.0000      0.0000      0.0750   1503.8293    703.0000     55.0687
    8180.0000      0.0000      0.0750   1504.1775    703.0000     55.0919
    8380.0000      0.0000      0.0750   1504.4766    703.0000     55.1120
    8400.0000      0.0000      0.0750   1504.5050    703.0000     55.1139
    8600.0000      0.0000      0.0750   1464.9467    703.0000     52.5495
    8800.0000      0.0000      0.0750   1448.4909    703.0000     51.5340
    9000.0000      0.0000      0.0750   1437.7998    703.0000     50.8911
    9200.0000      0.0000      0.0750   1430.1713    703.0000     50.4406
    9400.0000      0.0000      0.0750   1424.4701    703.0000     50.1086
    9600.0000      0.0000      0.0750   1420.0948    703.0000     49.8565
    9800.0000      0.0000      0.0750   1416.6707    703.0000     49.6608
   10000.0000      0.0000      0.0750   1413.9517    703.0000     49.5064
   10200.0000      0.0000      0.0750   1411.7687    703.0000     49.3832
   10400.0000      0.0000      0.0750   1409.9884    703.0000     49.2831
   10600.0000      0.0000      0.0750   1408.5410    703.0000     49.2020
   10800.0000      0.0000      0.0750   1407.3513    703.0000     49.1356
   11000.0000      0.0000      0.0750   1406.3611    703.0000     49.0804
   11200.0000      0.0000      0.0750   1405.5481    703.0000     49.0352
   11400.0000      0.0000      0.0750   1404.8616    703.0000     48.9971
   11600.0000      0.0000      0.0750   1404.2973    703.0000     48.9658
   11800.0000      0.0000      0.0750   1403.8159    703.0000     48.9392
   12000.0000      0.0000      0.0750   1403.4080    703.0000     48.9166
   12200.0000      0.0000      0.0750   1403.0755    703.0000     48.8982
   12400.0000      0.0000      0.0750   1402.7885    703.0000     48.8824
   12600.0000      0.0000      0.0750   1402.5438    703.0000     48.8689
   12800.0000      0.0000      0.0750   1402.3360    703.0000     48.8574
   13000.0000      0.0000      0.0750   1402.1629    703.0000     48.8479
   13200.0000      0.0000      0.0750   1402.0162    703.0000     48.8398
   13400.0000      0.0000      0.0750   1401.8917    703.0000     48.8329
   13600.0000      0.0000      0.0750   1401.7835    703.0000     48.8270
   13800.0000      0.0000      0.0750   1401.6932    703.0000     48.8220
   14000.0000      0.0000      0.0750   1401.6095    703.0000     48.8174
   14200.0000      0.0000      0.0750   1401.5441    703.0000     48.8138
   14400.0000      0.0000      0.0750   1401.4887    703.0000     48.8107
   14600.0000      0.0000      0.0750   1401.4364    703.0000     48.8079
   14800.0000      0.0000      0.0750   1401.3997    703.0000     48.8058
   15000.0000      0.0000      0.0750   1401.3612    703.0000     48.8037
   15200.0000      0.0000      0.0750   1401.3280    703.0000     48.8019
   15400.0000      0.0000      0.0750   1401.3050    703.0000     48.8006
   15600.0000      0.0000      0.0750   1401.2795    703.0000     48.7992
   15800.0000      0.0000      0.0750   1401.2583    703.0000     48.7981
   16000.0000      0.0000      0.0750   1401.2468    703.0000     48.7974
   16200.0000      0.0000      0.0750   1401.2317    703.0000     48.7966
   16400.0000      0.0000      0.0750   1401.2174    703.0000     48.7958
   16600.0000      0.0000      0.0750   1401.2071    703.0000     48.7952
   16800.0000      0.0000      0.0750   1401.1970    703.0000     48.7947
   17000.0000      0.0000      0.0750   1401.1871    703.0000     48.7941
   17200.0000      0.0000      0.0750   1401.1863    703.0000     48.7941
   17400.0000      0.0000      0.0750   1401.1818    703.0000     48.7939
   17600.0000      0.0000      0.0750   1401.1771    703.0000     48.7936
   17800.0000      0.0000      0.0750   1401.1724    703.0000     48.7933
   18000.0000      0.0000      0.0750   1401.1677    703.0000     48.7931
   18200.0000      0.0000      0.0750   1401.1631    703.0000     48.7928
   18400.0000      0.0000      0.0750   1401.1627    703.0000     48.7928
                                                                         
                                                                         
 ========================================================================
 Npos =  5
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
       0.0000      0.0000      0.1000    300.0000    478.5730     62.2137
     200.0000      0.0000      0.1000    460.1366    498.8505     55.4163
     400.0000      0.0000      0.1000    563.7532    568.4042     50.6123
     600.0000      0.0000      0.1000    649.4594    611.6939     46.8456
     800.0000      0.0000      0.1000    723.0642    638.0924     43.9641
    1000.0000      0.0000      0.1000    786.5787    664.9316     41.8493
    1140.0000      0.0000      0.1000    826.3029    691.8574     40.7365
    1340.0000      0.0000      0.1000    947.9144    898.5622     38.5069
    1540.0000      0.0000      0.1000   1018.5722   1177.0254     38.1215
    1740.0000      0.0000      0.1000   1075.2756    980.3551     38.3343
    1940.0000      0.0000      0.1000   1125.3411    838.7284     38.9204
    2140.0000      0.0000      0.1000   1169.3859    750.6508     39.7483
    2340.0000      0.0000      0.1000   1207.3183    703.0000     40.6953
    2540.0000      0.0000      0.1000   1239.3803    703.0000     41.6635
    2740.0000      0.0000      0.1000   1266.2157    703.0000     42.5905
    2940.0000      0.0000      0.1000   1288.7445    703.0000     43.4495
    3060.0000      0.0000      0.1000   1300.8960    703.0000     43.9431
