 ========================================================================
 Mesh information:
 Nx =                    3     -    Ny =                     3
  
 Slab dimensions:
 X(m) =    1.0000000000000000          -    Y(m) =   0.20000000000000001     
                                                                         
                                                                         
 ========================================================================
 Npos =  1
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
   17000.0000      0.0000      0.1000   1406.6990    703.0000     49.0992
   17200.0000      0.0000      0.1000   1406.6938    703.0000     49.0989
   17400.0000      0.0000      0.1000   1406.6894    703.0000     49.0987
   17600.0000      0.0000      0.1000   1406.6857    703.0000     49.0985
   17800.0000      0.0000      0.1000   1406.6826    703.0000     49.0983
   18000.0000      0.0000      0.1000   1406.6800    703.0000     49.0982
   18200.0000      0.0000      0.1000   1406.6777    703.0000     49.0980
   18400.0000      0.0000      0.1000   1406.6759    703.0000     49.0979
                                                                         
                                                                         
 ========================================================================
 Npos =  3
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
       0.0000      0.0000      0.2000    300.0000    478.5730     62.2137
     200.0000      0.0000      0.2000    467.5821    503.8065     55.0716
     400.0000      0.0000      0.2000    580.8734    578.4982     49.8349
     600.0000      0.0000      0.2000    669.6282    619.4694     46.0167
     800.0000      0.0000      0.2000    743.0588    645.3442     43.2571
    1000.0000      0.0000      0.2000    804.7701    675.8334     41.3183
    1140.0000      0.0000      0.2000    842.7655    706.9772     40.3274
    1340.0000      0.0000      0.2000    940.8488    878.7510     38.5838
    1540.0000      0.0000      0.2000   1008.8171   1128.6962     38.1323
    1740.0000      0.0000      0.2000   1074.2485    983.6932     38.3262
    1940.0000      0.0000      0.2000   1135.4523    815.3616     39.0846
    2140.0000      0.0000      0.2000   1185.9725    727.0193     40.1358
    2340.0000      0.0000      0.2000   1223.9751    703.0000     41.1793
    2540.0000      0.0000      0.2000   1253.7019    703.0000     42.1451
    2740.0000      0.0000      0.2000   1278.4185    703.0000     43.0467
    2940.0000      0.0000      0.2000   1299.9583    703.0000     43.9043
    3060.0000      0.0000      0.2000   1311.9174    703.0000     44.4089
    3260.0000      0.0000      0.2000   1362.0353    703.0000     46.7396
    3460.0000      0.0000      0.2000   1396.5309    703.0000     48.5394
    3660.0000      0.0000      0.2000   1421.4154    703.0000     49.9323
    3860.0000      0.0000      0.2000   1440.1344    703.0000     51.0303
    4060.0000      0.0000      0.2000   1454.6538    703.0000     51.9106
    4260.0000      0.0000      0.2000   1466.1341    703.0000     52.6240
